Model,Hypervolume,Spread,Convergence
Srinivas,1.8253,1.218,0.132837423801
Fonseca,1.2444,1.447,0.0899892254642
Tanaka,1.5656,0.949,0.0715674828938
Osyczka2,2.1193,0.513,5.07580699366
ZDT4,2.1233,0.787,12.1595419171
ZDT2,1.9893,0.363,10.5150879794
ZDT3,1.9956,0.598,8.94847075544
ZDT1,2.0166,0.688,8.10061559355
