Model,Hypervolume,Spread,Convergence
DTLZ5,3328.2135,1.267,1.46915236168
DTLZ6,4060.2995,1.456,7.04994187255
DTLZ7,2082.1281,1.36,5.11952425878
Viennet2,3085.2974,0.832,3.42702516628
Viennet3,3082.5515,1.146,2.69091445024
