Model,Hypervolume,Spread,Convergence
DTLZ1,1052473388.17,0.437,35.4418963764
DTLZ2,1063738046.01,1.183,13.147869135
DTLZ3,876361941.375,0.311,182.98895754
DTLZ4,1063735166.16,0.25,154.264185895
DTLZ5,1064784014.38,0.803,122.378539834
DTLZ6,1079900215.64,0.751,103.246136084
DTLZ7,1059488216.55,1.295,90.7327609065
Viennet2,1063767370.93,1.043,69.6750321028
Viennet3,1063751086.4,0.404,57.6177906316
