Model,Hypervolume,Spread,Convergence
PSOProbs,1.295,1.371,
PSOProbs,2.1657,0.87,
PSOProbs,1.9403,1.165,
PSOProbs,1.6223,1.217,
PSOProbs,2.0963,0.716,
PSOProbs,2.1006,0.751,
PSOProbs,2.0746,0.905,
PSOProbs,2.2175,0.787,
