Model,Hypervolume,Spread,Convergence
Fonseca,1.3802,1.298,0.00515821133566
Osyczka2,2.1678,0.778,16.4781185744
Srinivas,1.9442,1.056,8.86506177998
Tanaka,1.6221,1.125,6.69663714583
ZDT1,2.1047,0.754,5.76260512585
ZDT2,2.0997,0.746,5.16086568459
ZDT3,2.059,0.917,4.52883615892
ZDT4,2.2178,1.196,6.86188336407
