Model,Hypervolume,Spread,Convergence
Fonseca,1.2188,1.748,0.000195370367044
Osyczka2,2.09,1.089,7.7360952545
Srinivas,1.8135,1.114,4.69091480573
Tanaka,1.5524,1.093,3.90936906353
ZDT1,2.0819,0.63,3.40453887011
ZDT2,2.0811,0.449,3.14619438037
ZDT3,2.0082,0.293,2.75716838465
ZDT4,2.1634,1.05,3.12638392512
