Model,Hypervolume,Spread,Convergence
DTLZ1,925052884.361,0.197,42.0345034305
DTLZ4,926870270.129,1.113,14.3261150182
DTLZ3,802776318.86,0.605,260.981433412
DTLZ2,926839912.54,0.579,208.925176533
