Model,Hypervolume,Spread,Convergence
Fonseca,1.3927,1.25,0.00402283373256
Osyczka2,2.1595,0.862,14.2547375047
Srinivas,1.939,1.227,7.40242185441
Tanaka,1.6209,1.529,5.80925641073
ZDT1,2.1348,0.861,4.95718009149
ZDT2,2.1438,0.795,4.36397205998
ZDT3,2.0626,0.944,3.83687194014
ZDT4,2.2209,1.194,5.16771791245
