Model,Hypervolume,Spread,Convergence
Fonseca,1.2103,1.48,0.000793169340968
Osyczka2,2.1071,0.724,13.3812060595
Srinivas,1.7823,1.254,7.1055538109
Tanaka,1.5465,1.189,5.40066078583
ZDT1,2.0565,0.384,4.68325048016
ZDT2,2.0701,0.475,4.03797664513
ZDT3,2.0225,0.569,3.48126886577
ZDT4,2.1564,0.955,4.51729189328
