Model,Hypervolume,Spread,Convergence
DTLZ1,3407131064.2,0.892,26.0930434284
DTLZ2,3407384156.31,0.771,9.28379556207
DTLZ3,3381777773.53,0.797,225.743884657
DTLZ4,3407380413.99,1.285,181.894760761
DTLZ5,3409813373.2,1.293,142.172334346
DTLZ6,3438770185.81,1.57,112.513733267
DTLZ7,3395132777.89,1.473,95.1903685961
Viennet2,3407382125.65,0.819,77.8360630743
Viennet3,3407357367.69,1.137,65.5607418407
