Model,Hypervolume,Spread,Convergence
Fonseca,1.2344,1.746,0.000423551905551
Osyczka2,2.1251,0.755,11.424960627
Srinivas,1.8768,1.285,6.35877078594
Tanaka,1.5738,1.485,5.15082875563
ZDT1,2.1136,0.738,4.44495935882
ZDT2,2.1148,0.767,3.97368958212
ZDT3,2.0399,0.911,3.40936749189
ZDT4,2.1722,1.54,4.51839136708
