Model,Hypervolume,Spread,Convergence
DTLZ1,5252946973.24,0.679,68.1350722996
DTLZ2,5254052230.82,0.812,28.7517521776
DTLZ3,5191558626.27,0.808,277.998789472
DTLZ4,5254034503.98,1.52,231.880500439
DTLZ5,5257851449.56,1.274,184.136997649
DTLZ6,5296815648.69,1.371,145.981903671
DTLZ7,5238286233.76,1.077,127.575989503
Viennet2,5254049892.59,0.902,98.7437949806
Viennet3,5254022518.31,1.274,80.8197768752
