Model,Hypervolume,Spread,Convergence
DTLZ1,2745132048.16,0.744,82.9313596305
DTLZ4,2745342615.19,1.066,46.0673557487
DTLZ3,2696504686.27,0.936,264.343320256
DTLZ2,2745341499.46,0.888,191.620965183
