Model,Hypervolume,Spread,Convergence
Srinivas,1.3765,1.23,0.125138595738
Tanaka,1.0748,1.444,0.0803497284937
ZDT3,1.5102,0.836,0.350749636189
ZDT4,1.67,0.907,9.52011573522
