Model,Hypervolume,Spread,Convergence
DTLZ1,680760572.808,,8.57235917491
DTLZ2,693439037.749,,1.55786785633
DTLZ3,615364525.685,,243.099894608
DTLZ4,692837624.234,,228.801817868
DTLZ5,693502228.763,,162.281318085
DTLZ6,703744427.558,,128.24794761
DTLZ7,688873274.408,,107.452577875
Viennet2,693443811.263,,88.3893328289
Viennet3,693429147.943,,76.492154664
