Model,Hypervolume,Spread,Convergence
DTLZ1,2808761399.08,0.753,83.24940642
DTLZ2,2808971038.64,0.915,38.9668768716
DTLZ3,2756427324.3,0.945,238.790373358
DTLZ4,2808971540.11,1.138,188.991821003
