Model,Hypervolume,Spread,Convergence
Fonseca,1.3282,1.032,0.0148769865581
Osyczka2,2.1734,0.978,20.4050062006
ZDT1,2.0986,0.902,12.4990670791
ZDT2,2.0732,0.805,9.36567461722
