Model,Hypervolume,Spread,Convergence
Fonseca,1.2419,1.718,0.000635622603238
Osyczka2,2.1183,0.733,12.9229306815
Srinivas,1.8991,1.088,7.44184540666
Tanaka,1.5833,1.246,5.81881505328
ZDT1,2.1125,0.716,4.92447240387
ZDT2,2.0987,0.693,4.37217563994
ZDT3,2.0217,0.846,3.78773611054
ZDT4,2.1773,1.119,5.87759329472
